,id,name,symbol,slug,token_address,tags
116,35181,Elon Trump Fart,ETF500,elon-trump-fart,CWX6t6pGJ1zsnuywnyd2ZMZJ7inB2sWuPdsteoT6pump,"memes,solana-ecosystem,political-memes,pump-fun-ecosystem,moonshot"
117,33595,Shoggoth (shoggoth.monster),SHOGGOTH,shoggoth-monster,H2c31USxu35MDkBrGph8pUDUnmzo2e4Rf4hnvL2Upump,"ai-big-data,memes,solana-ecosystem,ai-memes,pump-fun-ecosystem,binance-alpha"
118,35774,The Next Bitcoin,BUTTCOIN,the-next-bitcoin,FasH397CeZLNYWkd3wWK9vrmjd1z93n3b59DssRXpump,"memes,solana-ecosystem,pump-fun-ecosystem"
119,10891,LIKE,LIKE,only1,3bRTivrVsitbmCTGtqwp7hxXPsybkjn4XLNtPsHqa3zR,"marketplace,communications-social-media,ai-big-data,collectibles-nfts,entertainment,social-token,solana-ecosystem,alameda-research-portfolio,petrock-capital-portfolio,animoca-brands-portfolio"
120,1993,Kin,KIN,kin,kinXdEcpDQeHPEuQnqmUgtYykqKGVFq6CeVX5iAHJq6,"media,content-creation,smart-contracts,polychain-capital-portfolio,solana-ecosystem,galaxy-digital-portfolio,pantera-capital-portfolio,web3,dwf-labs-portfolio,alleged-sec-securities"
121,35410,MAX,MAX,max-2,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,"ai-big-data,memes,solana-ecosystem,ai-agents,pump-fun-ecosystem,binance-alpha"
122,32386,hehe,HEHE,hehe-sol,BreuhVohXX5fv6q41uyb3sojtAuGoGaiAhKBMtcrpump,"memes,solana-ecosystem,cat-themed,animal-memes,pump-fun-ecosystem"
123,34078,Eliza (elizawakesup),ELIZA,eliza-wakesup-ai,5voS9evDjxF589WuEub5i4ti7FWQmZCsAsyD5ucbuRqM,"ai-big-data,memes,solana-ecosystem,ai-memes,ai-agents"
124,34025,Dasha,VVAIFU,dasha,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,"ai-big-data,memes,solana-ecosystem,ai-memes,ai-agents,pump-fun-ecosystem,binance-alpha,ai-agent-launchpad"
125,35687,Stool Prisondente,JAILSTOOL,stool-prisondente,AxriehR6Xw3adzHopnvMn7GcpRFcD41ddpiTWMg6pump,"memes,solana-ecosystem"
126,33656,Pino,PINO,pino,7b36cKRYFZsMp3vLByVwfVQxW2ndcYth5rhPnyypump,"memes,solana-ecosystem"
127,35767,LIBRA,LIBRA,libra-viva-la-libertad-project,Bo9jh3wsmcC2AjakLWzNmKJ3SgtZmXEcSaW7L2FAvUsU,"argentina,memes,solana-ecosystem,political-memes"
128,35075,Top Hat,HAT,top-hat,AxGAbdFtdbj2oNXa4dKqFvwHzgFtW9mFHWmd7vQfpump,"ai-big-data,memes,solana-ecosystem,binance-alpha,ai-agent-launchpad"
129,34994,Degen Spartan AI,DEGENAI,degen-spartan-ai,Gu3LDkn7Vx3bmCzLafYNKcDxv2mH7YN44NJZFXnypump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha"
130,36235,CHADETTE,CHADETTE,chadette,3pGyE8coXwBy8rx71zjtHDRrSA5TvKmuRgqwhK3Xmoon,"memes,solana-ecosystem,moonshot"
131,32543,HahaYes,RIZO,hahayes,rizo34MUwbCBqpSTSfnEktdWB4CTByqqYh8zBxL3WAR,"memes,solana-ecosystem"
132,34953,TRI SIGMA,TRISIG,tri-sigma,BLDiYcvm3CLcgZ7XUBPgz6idSAkNmWY6MBbm8Xpjpump,"ai-big-data,memes,solana-ecosystem,ai-memes,binance-alpha,defai"
